"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 14:52:08 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","72","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с некорректными входными данными",""
"passed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:27 MSK 2024","18212","tests","Тесты метода создания заказа","TestOrders","","","Получение списка заказов",""
"passed","Sat Jan 06 14:52:08 MSK 2024","Sat Jan 06 14:52:08 MSK 2024","49","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с пустыми полями",""
"failed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","34","tests","Тесты метода создания заказа","TestOrders","","","Создание заказа с разными цветами самоката",""
"passed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:51:08 MSK 2024","31","tests","Тесты метода создания курьера","TestCreateCourier","","","Создание курьера без обязательных полей",""
"failed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","44","tests","Тесты метода создания заказа","TestOrders","","","Создание заказа с разными цветами самоката",""
"passed","Sat Jan 06 14:52:08 MSK 2024","Sat Jan 06 14:52:08 MSK 2024","70","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с некорректными входными данными",""
"passed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:51:08 MSK 2024","209","tests","Тесты метода создания курьера","TestCreateCourier","","","Успешное создание курьера",""
"passed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","86","tests","Тесты метода создания заказа","TestOrders","","","Создание заказа с разными цветами самоката",""
"passed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:51:08 MSK 2024","31","tests","Тесты метода создания курьера","TestCreateCourier","","","Создание курьера без обязательных полей",""
"passed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:51:08 MSK 2024","71","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с корректными входными данными",""
"passed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","120","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с некорректными входными данными",""
"passed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:51:08 MSK 2024","67","tests","Тесты метода создания курьера","TestCreateCourier","","","Создание неуникального курьера",""
"failed","Sat Jan 06 14:51:08 MSK 2024","Sat Jan 06 14:52:08 MSK 2024","60099","tests","Тесты метода авторизации курьера","TestLoginCourier","","","Авторизация курьера с пустыми полями",""
"passed","Sat Jan 06 14:52:09 MSK 2024","Sat Jan 06 14:52:09 MSK 2024","136","tests","Тесты метода создания заказа","TestOrders","","","Создание заказа с разными цветами самоката",""
